taxon_id,scientific_name,family,kingdom,temp_min_c,temp_max_c,rainfall_min_mm_year,rainfall_max_mm_year,ph_min,ph_max,uses,growth_form_uri,plant_form_uri,soil_depth,soil_texture_uri,source
49211,Lonicera caprifolium,Caprifoliaceae,Archaeplastida,,,,,,,ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900034,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49212,Pinguicula vulgaris,Lentibulariaceae,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900037,50,http://purl.obolibrary.org/obo/FLOPO_0980071,FAO ECOCROP-derived DwC-A measurement data
49976,Trollius europaeus,Ranunculaceae,Archaeplastida,,,,,,,mammals,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49977,Soldanella alpina,Primulaceae,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49978,Sempervivum arachnoideum,Crassulaceae,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49979,Scolopendrium officinale,,Archaeplastida,,,,,,,ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49980,Sambucus ebulus,Caprifoliaceae,Archaeplastida,,,,,6.5,8,mammals,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49981,Rhododendron ferrugineum,Ericaceae,Archaeplastida,,,,,,,dicot.,,http://purl.obolibrary.org/obo/FLOPO_0900034,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49982,Umbilicus rupestris,Crassulaceae,Archaeplastida,,,,,,,ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900037,50,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49984,Carlina acaulis,Compositae,Archaeplastida,,,,,,,ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49985,Centaurea centaurium,Compositae,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49986,Ceterach officinarum,,Archaeplastida,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0900036,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49987,Cetraria islandica,,Archaeplastida,,,,,,,,,,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
49988,Cimicifuga racemosa,Ranunculaceae,Archaeplastida,,,,,,,mammals,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
50038,Cornus sanguinea,Cornaceae,Archaeplastida,,,,,6.5,8,lipids/oil & fats | ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900034,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
50039,Cytisus alpinus,Leguminosae,Archaeplastida,,,,,,,mammals | ornamental/turf,,https://www.wikidata.org/entity/Q757163,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
50040,Anemone hepatica,Ranunculaceae,Archaeplastida,,,,,6.5,8,mammals,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
50041,Antennaria dioica,Compositae,Archaeplastida,,,,,,,ornamental/turf,,http://purl.obolibrary.org/obo/FLOPO_0900037,,http://purl.obolibrary.org/obo/FLOPO_0980073,FAO ECOCROP-derived DwC-A measurement data
